City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Caohai,CN,26.8661,104.2841,36.3,97,100,6.6,overcast clouds
255,Mecca,SA,21.4267,39.8261,87.98,24,97,4.88,overcast clouds
256,Bosaso,SO,11.2842,49.1816,81.66,62,42,1.23,scattered clouds
257,Toora-Khem,RU,52.4675,96.11,34.99,99,100,2.3,overcast clouds
258,Astoria,US,46.1879,-123.8313,48.94,80,100,12.66,overcast clouds
259,Ossora,RU,59.2353,163.0719,5.83,87,72,5.53,broken clouds
260,Flinders,AU,-34.5833,150.8552,63.05,76,0,1.99,clear sky
261,Kaitangata,NZ,-46.2817,169.8464,53.04,96,100,3.18,overcast clouds
262,Khani,GE,41.9563,42.9566,47.77,87,77,4.81,broken clouds
263,Asau,RO,46.4333,26.4,45.52,55,99,9.71,overcast clouds
264,Airai,TL,-8.9266,125.4092,58.82,92,15,1.12,few clouds
265,Bathsheba,BB,13.2167,-59.5167,81.07,60,10,14.67,clear sky
266,Verkhnyaya Toyma,RU,62.2349,44.9985,18.34,92,53,0.4,broken clouds
267,Hofn,IS,64.2539,-15.2082,33.82,55,100,11.5,overcast clouds
268,Biak,ID,-0.9131,122.8766,76.32,83,98,3.78,overcast clouds
269,Krasnoselkup,RU,65.7,82.4667,26.56,93,100,26.02,light snow
270,Colonia,DE,50.9333,6.95,44.82,82,75,13.8,broken clouds
271,Golden,US,39.7555,-105.2211,55.83,42,74,5.01,broken clouds
272,Hambantota,LK,6.1241,81.1185,77.34,100,40,3.44,scattered clouds
273,Tisovec,SK,48.6774,19.9436,42.75,51,91,11.5,overcast clouds
274,Hay River,CA,60.8156,-115.7999,32.76,94,100,9.17,overcast clouds
275,Vaitape,PF,-16.5167,-151.75,82.26,73,100,18.81,overcast clouds
276,Rio Gallegos,AR,-51.6226,-69.2181,45.52,55,92,26.78,overcast clouds
277,Deputatskiy,RU,69.3,139.9,-16.98,97,61,2.06,broken clouds
278,La Ronge,CA,55.1001,-105.2842,34.07,78,81,13.2,broken clouds
279,Havoysund,NO,70.9963,24.6622,28.63,64,100,13.13,overcast clouds
280,George Town,MY,5.4112,100.3354,78.73,89,40,6.91,light rain
281,Kutum,SD,14.2,24.6667,91.33,8,12,5.93,few clouds
282,Samarkand,UZ,39.6542,66.9597,67.42,37,0,4.61,clear sky
283,Bijie,CN,27.3125,105.2942,45.86,89,100,7.07,overcast clouds
284,Rochegda,RU,62.8,43.25,20.44,93,92,3.38,overcast clouds
285,Muros,ES,42.7762,-9.0603,59.68,45,6,15.66,clear sky
286,Buchanan,LR,5.8808,-10.0467,84.56,68,44,11.48,scattered clouds
287,Sioux Lookout,CA,50.1001,-91.917,33.62,92,100,2.91,overcast clouds
288,Trelew,AR,-43.249,-65.3051,64.67,30,53,21.03,broken clouds
289,Jalingo,NG,8.8833,11.3667,103.28,17,97,5.08,overcast clouds
290,Nsanje,MW,-16.92,35.262,79.05,84,71,2.89,broken clouds
291,Kruisfontein,ZA,-34.0033,24.7314,66.88,76,0,10.02,clear sky
292,Bonnyville,CA,54.2668,-110.735,35.96,81,47,11.3,scattered clouds
293,Sergeyevka,KZ,53.88,67.4158,42.8,80,100,14.05,overcast clouds
294,Dingle,PH,10.9995,122.6711,76.8,88,100,7.23,moderate rain
295,North Bend,US,43.4065,-124.2243,53.92,96,100,19.57,moderate rain
296,Bad Oldesloe,DE,53.8117,10.3742,47.12,95,100,20.98,overcast clouds
297,Saint-Leu,RE,-21.15,55.2833,77.86,80,100,1.88,light rain
298,Manicore,BR,-5.8092,-61.3003,75.25,96,100,1.81,moderate rain
299,Hamilton,US,39.1834,-84.5333,50.99,64,100,4.0,overcast clouds
300,Baoying,CN,33.2292,119.3092,47.48,79,100,7.0,overcast clouds
301,Salym,RU,60.0625,71.4789,38.3,100,100,7.96,overcast clouds
302,Saint-Augustin,CA,51.226,-58.6502,32.04,94,50,5.57,scattered clouds
303,Wanning,CN,18.8003,110.3967,68.29,84,91,6.96,overcast clouds
304,Adrasmon,TJ,40.6472,69.9856,57.52,34,0,4.41,clear sky
305,Mayo,US,38.8876,-76.5119,54.18,44,0,5.99,clear sky
306,Sorong,ID,-0.8833,131.25,79.23,83,63,6.73,broken clouds
307,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,54,91,7.16,overcast clouds
308,Mugur-Aksy,RU,50.35,90.5,30.74,71,100,5.26,overcast clouds
309,Panaba,MX,21.2833,-88.2667,91.78,38,5,13.96,clear sky
310,Balikpapan,ID,-1.2675,116.8289,76.19,100,20,3.44,few clouds
311,Esperance,AU,-33.8667,121.9,58.84,73,64,16.98,broken clouds
312,Floro,NO,61.5996,5.0328,37.36,56,40,19.57,scattered clouds
313,Guerrero Negro,MX,27.9769,-114.0611,62.29,64,86,16.37,overcast clouds
314,Namibe,AO,-15.1961,12.1522,72.68,76,94,12.15,overcast clouds
315,Mahebourg,MU,-20.4081,57.7,80.26,79,100,13.73,overcast clouds
316,Surok,RU,56.4469,48.1214,28.62,97,100,9.71,snow
317,Harer,ET,9.3094,42.1258,73.76,23,61,9.75,broken clouds
318,Kitimat,CA,54.0524,-128.6534,34.92,33,100,1.57,overcast clouds
319,Along,IN,28.1667,94.7667,65.55,96,100,1.12,moderate rain
320,Jacmel,HT,18.2342,-72.5347,87.64,61,5,7.74,clear sky
321,Pula,HR,44.8683,13.8481,52.36,54,20,4.61,few clouds
322,Seddon,AU,-37.8068,144.8916,57.7,89,75,5.75,broken clouds
323,Acapulco,MX,16.8634,-99.8901,80.42,61,0,5.75,clear sky
324,Stralsund,DE,54.3091,13.0818,42.06,94,100,31.99,overcast clouds
325,Alta Floresta,BR,-9.8756,-56.0861,83.97,68,79,4.23,broken clouds
326,Nishihara,JP,26.1842,127.7558,61.88,72,0,6.91,clear sky
327,Thabazimbi,ZA,-24.5917,27.4116,67.21,87,99,3.58,overcast clouds
328,Poltavka,RU,54.3663,71.7632,43.68,83,100,12.08,overcast clouds
329,Zawadzkie,PL,50.605,18.4847,44.65,56,96,16.8,overcast clouds
330,Te Anau,NZ,-45.4167,167.7167,55.53,93,100,2.35,light rain
331,Cradock,ZA,-32.1642,25.6192,72.0,23,0,13.29,clear sky
332,San Patricio,US,28.017,-97.5169,79.07,65,82,16.87,broken clouds
333,Mahibadhoo,MV,3.7833,72.9667,84.2,61,95,1.48,overcast clouds
334,Davila,PH,18.4726,120.5763,77.79,77,60,22.41,broken clouds
335,Viedma,AR,-40.8135,-62.9967,65.41,32,1,15.5,clear sky
336,Kajiado,KE,-1.8524,36.7768,70.92,47,89,14.9,overcast clouds
337,Yishui,CN,35.7847,118.6281,52.05,57,100,10.36,overcast clouds
338,Malanville,BJ,11.8685,3.3899,106.68,13,100,5.93,overcast clouds
339,Wawa,NG,9.9022,4.4192,101.53,22,100,2.01,overcast clouds
340,Chambas,CU,22.1928,-78.9136,90.0,40,27,6.51,scattered clouds
341,Tucurui,BR,-3.7661,-49.6725,86.45,68,91,0.49,overcast clouds
342,Del Rio,US,29.3627,-100.8968,73.8,73,100,14.97,overcast clouds
343,Ponta Delgada,PT,37.7333,-25.6667,59.72,67,75,10.36,broken clouds
344,Tres Lagoas,BR,-20.7511,-51.6783,91.4,42,34,9.51,scattered clouds
